Location,Offense_Category,Volume
Cyberspace,Fraud,59722
Cyberspace,Larceny/Theft,0
Cyberspace,Motor Vehicle Theft,0
Cyberspace,Robbery,0
Cyberspace,Stolen Property,40
Cyberspace,Animal Cruelty,0
Cyberspace,Drug/Narcotic,18
Cyberspace,Gambling,8
Cyberspace,Pornography/Obscene Material,3722
Cyberspace,Prostitution,51
Cyberspace,Weapon Law Violations,13
Daycare Facility,Assault,1392
Daycare Facility,Homicide,1
Daycare Facility,Human Trafficking,0
Daycare Facility,Kidnapping_Abduction,29
Daycare Facility,Sex,226
Daycare Facility,Arson,8
Daycare Facility,Bribery,0
Daycare Facility,Burglary/Breaking & Entering,476
Daycare Facility,Counterfeiting/Forgery,33
Daycare Facility,Destruction/Damage/Vandalism ,684
Daycare Facility,Embezzlement,13
Daycare Facility,Extortion/Blackmail,1
Daycare Facility,Fraud,111
Daycare Facility,Larceny/Theft,1099
Daycare Facility,Motor Vehicle Theft,94
Daycare Facility,Robbery,9
Daycare Facility,Stolen Property,11
Daycare Facility,Animal Cruelty,1
Daycare Facility,Drug/Narcotic,91
Daycare Facility,Gambling,1
Daycare Facility,Pornography/Obscene Material,4
Daycare Facility,Prostitution,0
Daycare Facility,Weapon Law Violations,10
Department/Discount Store,Assault,14344
Department/Discount Store,Homicide,17
Department/Discount Store,Human Trafficking,5
Department/Discount Store,Kidnapping_Abduction,176
Department/Discount Store,Sex,416
Department/Discount Store,Arson,197
Department/Discount Store,Bribery,11
Department/Discount Store,Burglary/Breaking & Entering,7979
Department/Discount Store,Counterfeiting/Forgery,6048
Department/Discount Store,Destruction/Damage/Vandalism ,8984
Department/Discount Store,Embezzlement,3075
Department/Discount Store,Extortion/Blackmail,33
Department/Discount Store,Fraud,29436
Department/Discount Store,Larceny/Theft,259184
Department/Discount Store,Motor Vehicle Theft,1880
Department/Discount Store,Robbery,4200
Department/Discount Store,Stolen Property,1647
Department/Discount Store,Animal Cruelty,77
Department/Discount Store,Drug/Narcotic,15539
Department/Discount Store,Gambling,11
Department/Discount Store,Pornography/Obscene Material,83
Department/Discount Store,Prostitution,18
Department/Discount Store,Weapon Law Violations,1699
