State,Offense_Category,Offense_Type,Volume
Idaho,Extortion/Blackmail,Property,101
Idaho,Fraud,Property,4936
Idaho,Larceny/Theft,Property,14611
Idaho,Motor Vehicle Theft,Property,1626
Idaho,Robbery,Property,163
Idaho,Stolen Property,Property,407
Idaho,Animal Cruelty,Society,52
Idaho,Drug/Narcotic,Society,22434
Idaho,Gambling,Society,0
Idaho,Pornography/Obscene Material,Society,288
Idaho,Prostitution,Society,33
Idaho,Weapon Law Violations,Society,897
Illinois,Assault,Person,5350
Illinois,Homicide,Person,33
Illinois,Human Trafficking,Person,0
Illinois,Kidnapping_Abduction,Person,117
Illinois,Sex,Person,188
Illinois,Arson,Property,61
Illinois,Bribery,Property,0
Illinois,Burglary/Breaking & Entering,Property,784
Illinois,Counterfeiting/Forgery,Property,118
Illinois,Destruction/Damage/Vandalism ,Property,3154
Illinois,Embezzlement,Property,3
Illinois,Extortion/Blackmail,Property,3
Illinois,Fraud,Property,858
Illinois,Larceny/Theft,Property,3282
Illinois,Motor Vehicle Theft,Property,425
Illinois,Robbery,Property,246
Illinois,Stolen Property,Property,84
Illinois,Animal Cruelty,Society,1
Illinois,Drug/Narcotic,Society,557
Illinois,Gambling,Society,0
Illinois,Pornography/Obscene Material,Society,32
Illinois,Prostitution,Society,6
Illinois,Weapon Law Violations,Society,539
Indiana,Assault,Person,49876
Indiana,Homicide,Person,448
Indiana,Human Trafficking,Person,39
Indiana,Kidnapping_Abduction,Person,1275
Indiana,Sex,Person,3665
Indiana,Arson,Property,629
Indiana,Bribery,Property,11
Indiana,Burglary/Breaking & Entering,Property,11851
Indiana,Counterfeiting/Forgery,Property,2020
Indiana,Destruction/Damage/Vandalism ,Property,10360
Indiana,Embezzlement,Property,352
Indiana,Extortion/Blackmail,Property,105
Indiana,Fraud,Property,14877
Indiana,Larceny/Theft,Property,56932
Indiana,Motor Vehicle Theft,Property,10860
Indiana,Robbery,Property,3333
Indiana,Stolen Property,Property,1257
Indiana,Animal Cruelty,Society,437
Indiana,Drug/Narcotic,Society,30118
Indiana,Gambling,Society,249
Indiana,Pornography/Obscene Material,Society,718
Indiana,Prostitution,Society,60
Indiana,Weapon Law Violations,Society,4832
Iowa,Assault,Person,28466
Iowa,Homicide,Person,124
Iowa,Human Trafficking,Person,0
Iowa,Kidnapping_Abduction,Person,220
Iowa,Sex,Person,2062
Iowa,Arson,Property,419
Iowa,Bribery,Property,58
Iowa,Burglary/Breaking & Entering,Property,11149
Iowa,Counterfeiting/Forgery,Property,3159
Iowa,Destruction/Damage/Vandalism ,Property,17982
Iowa,Embezzlement,Property,164
Iowa,Extortion/Blackmail,Property,136
Iowa,Fraud,Property,7235
Iowa,Larceny/Theft,Property,36165
Iowa,Motor Vehicle Theft,Property,6195
Iowa,Robbery,Property,928
Iowa,Stolen Property,Property,714
Iowa,Animal Cruelty,Society,0
Iowa,Drug/Narcotic,Society,21444
Iowa,Gambling,Society,3
Iowa,Pornography/Obscene Material,Society,392
Iowa,Prostitution,Society,31
Iowa,Weapon Law Violations,Society,2436
Kansas,Assault,Person,39051
Kansas,Homicide,Person,95
Kansas,Human Trafficking,Person,0
Kansas,Kidnapping_Abduction,Person,1239
Kansas,Sex,Person,2222
Kansas,Arson,Property,512
Kansas,Bribery,Property,6
Kansas,Burglary/Breaking & Entering,Property,7818
Kansas,Counterfeiting/Forgery,Property,2850
Kansas,Destruction/Damage/Vandalism ,Property,25413
Kansas,Embezzlement,Property,634
Kansas,Extortion/Blackmail,Property,244
Kansas,Fraud,Property,12986
Kansas,Larceny/Theft,Property,39479
Kansas,Motor Vehicle Theft,Property,5913
Kansas,Robbery,Property,816
Kansas,Stolen Property,Property,1555
Kansas,Animal Cruelty,Society,1
Kansas,Drug/Narcotic,Society,27134
Kansas,Gambling,Society,6
Kansas,Pornography/Obscene Material,Society,387
Kansas,Prostitution,Society,76
Kansas,Weapon Law Violations,Society,2934
Kentucky,Assault,Person,43377
Kentucky,Homicide,Person,366
Kentucky,Human Trafficking,Person,19
Kentucky,Kidnapping_Abduction,Person,1166
Kentucky,Sex,Person,2959
Kentucky,Arson,Property,360
Kentucky,Bribery,Property,53
Kentucky,Burglary/Breaking & Entering,Property,14724
Kentucky,Counterfeiting/Forgery,Property,2458
Kentucky,Destruction/Damage/Vandalism ,Property,21038
Kentucky,Embezzlement,Property,1382
Kentucky,Extortion/Blackmail,Property,81
Kentucky,Fraud,Property,7066
Kentucky,Larceny/Theft,Property,54885
Kentucky,Motor Vehicle Theft,Property,11242
Kentucky,Robbery,Property,2288
Kentucky,Stolen Property,Property,4117
Kentucky,Animal Cruelty,Society,178
Kentucky,Drug/Narcotic,Society,41189
Kentucky,Gambling,Society,13
Kentucky,Pornography/Obscene Material,Society,573
Kentucky,Prostitution,Society,84
Kentucky,Weapon Law Violations,Society,2875
Louisiana,Assault,Person,21860
Louisiana,Homicide,Person,130
Louisiana,Human Trafficking,Person,2
Louisiana,Kidnapping_Abduction,Person,228
Louisiana,Sex,Person,775
Louisiana,Arson,Property,71
Louisiana,Bribery,Property,1
Louisiana,Burglary/Breaking & Entering,Property,6312
Louisiana,Counterfeiting/Forgery,Property,759
Louisiana,Destruction/Damage/Vandalism ,Property,9117
Louisiana,Embezzlement,Property,196
Louisiana,Extortion/Blackmail,Property,59
Louisiana,Fraud,Property,1735
Louisiana,Larceny/Theft,Property,23833
Louisiana,Motor Vehicle Theft,Property,2594
Louisiana,Robbery,Property,508
Louisiana,Stolen Property,Property,879
Louisiana,Animal Cruelty,Society,2
Louisiana,Drug/Narcotic,Society,12399
Louisiana,Gambling,Society,14
Louisiana,Pornography/Obscene Material,Society,314
Louisiana,Prostitution,Society,97
Louisiana,Weapon Law Violations,Society,1988
